investor_id,name,age,city,occupation,risk_appetite,sip_capacity,preferred_language,created_at,gender,tier,monthly_income_est,last_activity_date
inv_bcd90787,Nisha Kale,18,Nagpur,Student,High,1000,English,2024-01-01,Female,Tier 2,12247,2025-10-01
inv_5b8ed102,Sanjay Joshi,34,Delhi,Business,High,15000,Hindi,2024-01-01,Male,Tier 1,147274,2025-10-01
inv_bce46007,Sunita Reddy,78,Bangalore,Retired,Conservative,5000,English,2024-01-01,Female,Tier 1,77556,2025-10-01
inv_50d3bd30,Riya Mehta,26,Mumbai,Business,High,15000,Marathi,2024-01-01,Female,Tier 1,434027,2025-10-01
inv_3bc709ee,Aditi Mehta,29,Bangalore,Business,High,30000,English,2024-01-01,Female,Tier 1,222318,2025-10-01
inv_df573a7b,Ramesh Pawar,56,Delhi,Salaried,Moderate,10000,Hindi,2024-01-01,Male,Tier 1,67146,2025-10-01
inv_f0b2a608,Sunita Gupta,43,Nagpur,Business,High,15000,English,2024-01-01,Female,Tier 2,442138,2025-10-01
inv_5ea57cc0,Ramesh Sharma,79,Bangalore,Retired,Conservative,5000,English,2024-01-01,Male,Tier 1,77058,2025-10-01
inv_f1240494,Krutika Kulkarni,45,Bangalore,Gig Worker,Moderate,1000,English,2024-01-01,Female,Tier 1,15899,2025-10-01
inv_3b0a1da7,Aditi Nair,20,Mumbai,Student,High,1000,English,2024-01-01,Female,Tier 1,11193,2025-10-01
inv_30aa19e2,Sanjay Das,47,Hyderabad,Gig Worker,Moderate,1000,English,2024-01-01,Male,Tier 2,38523,2025-10-01
inv_901e139e,Deepak Das,49,Mumbai,Gig Worker,Moderate,1000,English,2024-01-01,Male,Tier 1,27231,2025-10-01
inv_5d42fe85,Vikram Kulkarni,47,Mumbai,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 1,54329,2025-10-01
inv_99fce27e,Kavita Deshmukh,18,Pune,Student,High,500,Marathi,2024-01-01,Female,Tier 2,11334,2025-10-01
inv_2ca50d78,Anita Shinde,40,Thane,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 2,105030,2025-10-01
inv_55be64f9,Vikram Sharma,22,Hyderabad,Student,High,1000,English,2024-01-01,Male,Tier 2,9928,2025-10-01
inv_d5bcc0df,Anjali Patil,43,Pune,Gig Worker,Moderate,2000,English,2024-01-01,Female,Tier 2,18931,2025-10-01
inv_df0fbf78,Aditi Deshmukh,23,Nagpur,Student,High,1000,English,2024-01-01,Female,Tier 2,14330,2025-10-01
inv_ac8313d2,Anita Deshmukh,57,Bangalore,Salaried,Moderate,10000,English,2024-01-01,Female,Tier 1,87871,2025-10-01
inv_2e3d8d7a,Anita Deshmukh,40,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Female,Tier 2,124567,2025-10-01
inv_af5e9b74,Aditya Singh,26,Hyderabad,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,93913,2025-10-01
inv_37e00b2d,Priya Sharma,21,Hyderabad,Student,High,500,English,2024-01-01,Female,Tier 2,8815,2025-10-01
inv_16788869,Vikram Shinde,48,Nashik,Gig Worker,Moderate,1000,Hindi,2024-01-01,Male,Tier 2,32186,2025-10-01
inv_91b253cb,Suresh Das,55,Bangalore,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 1,90520,2025-10-01
inv_90dd3df5,Riya Verma,26,Chennai,Salaried,Moderate,5000,Tamil,2024-01-01,Female,Tier 2,136241,2025-10-01
inv_f5772ec1,Ramesh Patil,18,Chennai,Student,High,1000,Tamil,2024-01-01,Male,Tier 2,8047,2025-10-01
inv_97732e35,Suresh Reddy,21,Nashik,Student,High,1000,Hindi,2024-01-01,Male,Tier 2,12876,2025-10-01
inv_81f38dd5,Aditi Kale,43,Chennai,Business,High,30000,Tamil,2024-01-01,Female,Tier 2,189487,2025-10-01
inv_628558e9,Deepak Joshi,34,Hyderabad,Business,High,30000,English,2024-01-01,Male,Tier 2,140146,2025-10-01
inv_1608c4b2,Ramesh Mehta,52,Mumbai,Gig Worker,Moderate,2000,Marathi,2024-01-01,Male,Tier 1,28052,2025-10-01
inv_f9962da9,Ramesh Verma,48,Chennai,Gig Worker,Moderate,1000,Tamil,2024-01-01,Male,Tier 2,15018,2025-10-01
inv_9ad44dad,Kavita Verma,62,Bangalore,Retired,Conservative,10000,English,2024-01-01,Female,Tier 1,50974,2025-10-01
inv_bb610772,Riya Kulkarni,48,Hyderabad,Gig Worker,Moderate,1000,English,2024-01-01,Female,Tier 2,26475,2025-10-01
inv_337a8611,Meena Shinde,53,Chennai,Salaried,Moderate,10000,Tamil,2024-01-01,Female,Tier 2,74441,2025-10-01
inv_8c748eb5,Ramesh Reddy,31,Hyderabad,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,85510,2025-10-01
inv_f7387007,Ganesh Kulkarni,55,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Male,Tier 2,139529,2025-10-01
inv_3b86b93d,Riya Deshmukh,26,Pune,Salaried,Moderate,5000,Marathi,2024-01-01,Female,Tier 2,76731,2025-10-01
inv_91dabf4b,Anil Nair,39,Nashik,Business,High,15000,English,2024-01-01,Male,Tier 2,267559,2025-10-01
inv_4e02c2e9,Divya Nair,40,Nagpur,Salaried,Moderate,5000,English,2024-01-01,Female,Tier 2,100638,2025-10-01
inv_595aff61,Deepak Deshmukh,35,Thane,Salaried,Moderate,10000,English,2024-01-01,Male,Tier 2,104305,2025-10-01
inv_32848322,Anil Reddy,25,Chennai,Gig Worker,Moderate,1000,Tamil,2024-01-01,Male,Tier 2,30394,2025-10-01
